speciesKey,decimalLatitude,decimalLongitude,eventDate,year,month,day,country,stateProvince,locality,basisOfRecord,individualCount
2,50.27656384167036,14.969119329721508,2013-04-23,2000,2,10,Poland,Mazovia,Location 46,MACHINE_OBSERVATION,4
4,50.23354854917911,17.835127477401375,2009-04-15,2000,11,24,Poland,Pomerania,Location 47,MACHINE_OBSERVATION,5
7,51.98800735795951,19.61093779267319,2017-04-13,2000,12,18,Poland,Pomerania,Location 48,HUMAN_OBSERVATION,5
8,54.65813963095998,17.96425854602444,2007-09-16,2023,2,17,Poland,Mazovia,Location 49,MACHINE_OBSERVATION,8
3,51.66213613049867,15.669574774946074,2018-07-14,2003,11,18,Poland,Silesia,Location 50,OBSERVATION,9
1,52.232371139562275,16.792671336643885,2013-09-27,2003,7,7,Poland,Mazovia,Location 51,OBSERVATION,2
4,53.99166570376625,23.468838835055486,2003-10-15,2017,1,4,Poland,Mazovia,Location 52,MACHINE_OBSERVATION,7
2,52.103404369815216,20.895019210980823,2002-05-01,2010,2,26,Poland,Pomerania,Location 53,HUMAN_OBSERVATION,1
8,50.06988465422936,19.059687954534844,2002-08-27,2000,12,5,Poland,Silesia,Location 54,HUMAN_OBSERVATION,1
4,50.73765628824557,14.129691877866314,2007-04-02,2009,8,28,Poland,Greater Poland,Location 55,OBSERVATION,4
2,50.797634172357945,24.122637084992597,2023-08-10,2008,6,23,Poland,Pomerania,Location 56,HUMAN_OBSERVATION,7
6,51.304445069654065,20.84884033592536,2003-03-02,2022,2,16,Poland,Greater Poland,Location 57,MACHINE_OBSERVATION,2
6,51.47537565095315,17.232609268918438,2016-07-21,2003,7,3,Poland,Silesia,Location 58,MACHINE_OBSERVATION,2
10,53.63873572803076,22.968540331977948,2023-04-23,2005,4,26,Poland,Mazovia,Location 59,OBSERVATION,1
4,51.02644459448613,16.636002526976544,2012-05-21,2015,2,18,Poland,Lesser Poland,Location 60,OBSERVATION,2
6,51.71574460496,19.548969107664064,2008-09-25,2001,12,23,Poland,Lesser Poland,Location 61,OBSERVATION,7
2,52.6248607248961,20.487921790044215,2021-06-05,2022,6,21,Poland,Silesia,Location 62,HUMAN_OBSERVATION,9
10,51.19081049515298,16.254846388828028,2009-08-07,2017,11,14,Poland,Lesser Poland,Location 63,MACHINE_OBSERVATION,6
2,53.852075917095526,23.979652243766076,2006-06-21,2009,9,15,Poland,Greater Poland,Location 64,MACHINE_OBSERVATION,2
10,52.40723090455763,21.631557440985773,2019-03-19,2023,11,17,Poland,Lesser Poland,Location 65,MACHINE_OBSERVATION,9
4,50.70545913948163,19.689694900212913,2021-04-28,2023,9,1,Poland,Silesia,Location 66,OBSERVATION,7
8,53.141543358781,15.842064901388069,2011-06-19,2016,8,25,Poland,Silesia,Location 67,MACHINE_OBSERVATION,1
7,52.06035683483976,14.549353711379867,2003-09-05,2012,3,21,Poland,Greater Poland,Location 68,HUMAN_OBSERVATION,9
9,52.099844169292034,17.264610291714032,2012-07-26,2023,3,17,Poland,Lesser Poland,Location 69,HUMAN_OBSERVATION,2
8,51.790310100648,21.682510826316708,2017-05-25,2017,2,23,Poland,Lesser Poland,Location 70,MACHINE_OBSERVATION,4
5,51.88266930316324,16.747179242680655,2015-11-19,2021,5,25,Poland,Mazovia,Location 71,OBSERVATION,9
2,53.43906643018419,19.50347344905415,2013-09-16,2012,12,11,Poland,Pomerania,Location 72,MACHINE_OBSERVATION,4
5,49.59729258012163,21.42506120265358,2014-06-04,2016,4,17,Poland,Silesia,Location 73,HUMAN_OBSERVATION,3
8,50.93930430560079,15.101025889393936,2006-08-22,2004,7,26,Poland,Mazovia,Location 74,HUMAN_OBSERVATION,1
10,49.43791951006256,20.99003976438191,2020-06-21,2010,4,14,Poland,Silesia,Location 75,HUMAN_OBSERVATION,7
9,53.36882808033521,14.937083054642455,2007-01-16,2006,9,20,Poland,Mazovia,Location 76,MACHINE_OBSERVATION,6
9,50.57935075737774,23.844323369695363,2022-10-10,2009,12,19,Poland,Pomerania,Location 77,HUMAN_OBSERVATION,4
1,54.20509637694953,18.981620126662385,2001-09-17,2016,12,21,Poland,Mazovia,Location 78,OBSERVATION,6
9,52.0541551066239,15.53689629864075,2010-10-22,2014,2,7,Poland,Silesia,Location 79,MACHINE_OBSERVATION,6
7,53.6443486746195,17.492313087542176,2016-04-16,2017,11,24,Poland,Lesser Poland,Location 80,MACHINE_OBSERVATION,4
9,54.677802326572575,18.216847782811666,2019-09-27,2022,6,13,Poland,Silesia,Location 81,HUMAN_OBSERVATION,6
8,53.87077538484811,21.73348711298068,2020-05-06,2021,7,18,Poland,Greater Poland,Location 82,HUMAN_OBSERVATION,8
1,54.028563808066835,21.582922617981414,2016-01-25,2018,4,23,Poland,Greater Poland,Location 83,OBSERVATION,3
8,51.3663100731161,20.241793154440778,2018-04-17,2001,6,14,Poland,Greater Poland,Location 84,MACHINE_OBSERVATION,4
8,52.19999105250417,15.080493268096628,2008-08-02,2003,7,1,Poland,Greater Poland,Location 85,HUMAN_OBSERVATION,1
3,50.472553671451166,15.54600759019427,2007-07-27,2002,4,7,Poland,Pomerania,Location 86,OBSERVATION,4
1,50.13745597822203,14.956320590584678,2005-01-15,2006,8,8,Poland,Lesser Poland,Location 87,HUMAN_OBSERVATION,9
8,51.93194569881499,19.88716238953301,2022-10-07,2023,9,18,Poland,Lesser Poland,Location 88,MACHINE_OBSERVATION,8
3,52.45128408226244,22.94681210341632,2016-02-27,2017,1,9,Poland,Silesia,Location 89,HUMAN_OBSERVATION,4
3,50.967773226197906,18.424765224998673,2008-09-13,2009,7,1,Poland,Mazovia,Location 90,MACHINE_OBSERVATION,7
1,52.3027724030283,15.64065137436901,2005-06-20,2006,9,22,Poland,Silesia,Location 91,HUMAN_OBSERVATION,3
5,54.14727079857831,19.692031716519462,2019-05-03,2007,12,17,Poland,Silesia,Location 92,MACHINE_OBSERVATION,9
10,52.22898519174352,22.27987261203024,2016-01-12,2005,10,19,Poland,Silesia,Location 93,OBSERVATION,4
7,53.180715958600935,21.565463027431885,2015-07-01,2021,5,27,Poland,Silesia,Location 94,MACHINE_OBSERVATION,2
10,53.67082681067585,22.99079795268522,2016-03-26,2000,12,6,Poland,Lesser Poland,Location 95,OBSERVATION,5
9,54.734626935341566,16.834601391938453,2014-04-04,2003,2,3,Poland,Mazovia,Location 96,MACHINE_OBSERVATION,2
7,52.49854493262648,15.978329446131303,2017-01-19,2013,10,24,Poland,Silesia,Location 97,OBSERVATION,6
9,53.679730863982996,22.974128156607776,2010-04-03,2016,6,5,Poland,Lesser Poland,Location 98,HUMAN_OBSERVATION,1
8,54.58336604761827,20.707115190335834,2007-10-01,2019,12,2,Poland,Silesia,Location 99,MACHINE_OBSERVATION,6
2,54.477576408348185,17.171475086077052,2013-02-23,2017,12,20,Poland,Greater Poland,Location 100,HUMAN_OBSERVATION,4
1,49.818274722910736,21.57195011583959,2003-08-27,2010,7,25,Poland,Silesia,Location 101,OBSERVATION,3
7,51.35707538798643,22.31420752169975,2018-06-25,2020,2,4,Poland,Silesia,Location 102,MACHINE_OBSERVATION,2
7,50.879142354419436,20.27277805147955,2000-01-08,2013,2,10,Poland,Pomerania,Location 103,MACHINE_OBSERVATION,7
8,49.50416508671203,21.016417920775133,2018-05-01,2008,10,10,Poland,Greater Poland,Location 104,HUMAN_OBSERVATION,9
5,52.67279649448357,17.827651025315195,2004-11-16,2014,12,24,Poland,Mazovia,Location 105,MACHINE_OBSERVATION,3
3,53.26824675653681,19.494695806899,2005-08-13,2011,10,21,Poland,Silesia,Location 106,MACHINE_OBSERVATION,6
8,53.91914295370792,19.346423541406853,2015-03-19,2009,1,11,Poland,Mazovia,Location 107,HUMAN_OBSERVATION,9
6,49.71210596004371,22.650087469533872,2011-11-11,2018,4,27,Poland,Greater Poland,Location 108,MACHINE_OBSERVATION,2
3,54.0833756400767,22.567632598878262,2009-09-20,2023,7,16,Poland,Silesia,Location 109,HUMAN_OBSERVATION,7
1,52.72896826896267,22.49334078733984,2003-12-23,2018,9,26,Poland,Pomerania,Location 110,HUMAN_OBSERVATION,5
3,53.082887583803355,14.11252246547715,2001-08-22,2005,3,17,Poland,Lesser Poland,Location 111,HUMAN_OBSERVATION,5
5,54.28161922053376,21.64536394158266,2018-09-05,2019,12,16,Poland,Pomerania,Location 112,HUMAN_OBSERVATION,7
3,52.62361537205086,21.738499179132248,2007-07-14,2023,11,7,Poland,Pomerania,Location 113,HUMAN_OBSERVATION,9
1,50.94802197146904,20.919463993122445,2023-07-03,2005,7,16,Poland,Lesser Poland,Location 114,OBSERVATION,4
5,53.78562252225142,21.713899510492816,2017-07-19,2007,7,3,Poland,Lesser Poland,Location 115,OBSERVATION,9
10,51.10574343073152,22.588097789266428,2018-02-20,2000,7,26,Poland,Lesser Poland,Location 116,HUMAN_OBSERVATION,9
7,49.19852304275907,18.797254351838212,2015-08-28,2021,2,16,Poland,Silesia,Location 117,OBSERVATION,4
7,53.81779613807845,19.12091217758216,2000-01-12,2016,6,8,Poland,Mazovia,Location 118,OBSERVATION,3
9,51.002114440311395,15.272083380496182,2020-11-05,2016,2,12,Poland,Mazovia,Location 119,MACHINE_OBSERVATION,2
10,53.48824023456777,17.93083400708309,2011-01-06,2023,6,3,Poland,Lesser Poland,Location 120,HUMAN_OBSERVATION,9
10,51.10399578906248,20.5623248351002,2000-05-25,2014,10,17,Poland,Pomerania,Location 121,OBSERVATION,2
3,53.99419451585338,21.9600777167022,2013-05-22,2006,3,21,Poland,Greater Poland,Location 122,MACHINE_OBSERVATION,6
7,50.27316104546956,16.215532796450347,2023-11-01,2018,2,18,Poland,Lesser Poland,Location 123,MACHINE_OBSERVATION,5
1,54.65237413815344,15.405793571424201,2017-09-19,2021,12,11,Poland,Pomerania,Location 124,HUMAN_OBSERVATION,5
4,53.52260089377057,20.76302844590502,2021-05-27,2022,6,4,Poland,Pomerania,Location 125,HUMAN_OBSERVATION,4
4,49.6625799703383,14.01917481195409,2001-07-04,2002,2,16,Poland,Silesia,Location 126,MACHINE_OBSERVATION,6
5,52.28150439580605,15.819400359934765,2000-04-22,2021,5,17,Poland,Silesia,Location 127,HUMAN_OBSERVATION,5
7,54.71513041100206,14.296528079508327,2006-07-14,2010,2,9,Poland,Mazovia,Location 128,HUMAN_OBSERVATION,4
7,51.73217962562412,15.702228202119683,2022-03-22,2019,3,6,Poland,Mazovia,Location 129,MACHINE_OBSERVATION,9
4,50.05622140516518,15.849456655240154,2023-04-24,2018,3,24,Poland,Greater Poland,Location 130,MACHINE_OBSERVATION,6
7,51.811714529472006,17.954270666454022,2017-10-09,2008,6,27,Poland,Greater Poland,Location 131,HUMAN_OBSERVATION,3
3,51.97225440411514,18.10373667180287,2007-10-10,2009,6,20,Poland,Greater Poland,Location 132,OBSERVATION,6
6,53.301784276526256,22.917477200224425,2016-02-06,2001,10,25,Poland,Greater Poland,Location 133,HUMAN_OBSERVATION,1
2,53.05330594833325,19.203119067488018,2004-12-09,2000,3,2,Poland,Pomerania,Location 134,OBSERVATION,5
10,51.33479025286248,21.37872860924532,2004-02-26,2015,3,9,Poland,Pomerania,Location 135,MACHINE_OBSERVATION,6
9,50.2645340234657,15.062201050786932,2019-09-17,2017,12,28,Poland,Mazovia,Location 136,OBSERVATION,8
5,52.74131417306211,16.29947530572968,2016-12-07,2022,1,21,Poland,Silesia,Location 137,MACHINE_OBSERVATION,9
6,51.44588282040903,21.1700230979825,2002-10-02,2016,7,6,Poland,Silesia,Location 138,HUMAN_OBSERVATION,3
4,49.76720202452692,14.538600396778987,2002-02-28,2005,8,3,Poland,Lesser Poland,Location 139,HUMAN_OBSERVATION,2
10,54.223319347171035,18.96329615488628,2023-10-06,2013,2,20,Poland,Pomerania,Location 140,MACHINE_OBSERVATION,4
7,53.009086774135994,20.113563449761926,2021-10-11,2022,4,6,Poland,Greater Poland,Location 141,MACHINE_OBSERVATION,8
9,52.96246636738379,20.141885569335308,2022-07-27,2014,10,7,Poland,Greater Poland,Location 142,MACHINE_OBSERVATION,8
7,53.770986480287704,14.233914674934029,2014-06-20,2013,7,1,Poland,Lesser Poland,Location 143,HUMAN_OBSERVATION,3
1,52.07203773619947,17.285501643137692,2008-06-20,2023,8,23,Poland,Silesia,Location 144,HUMAN_OBSERVATION,4
1,53.72731568473425,20.49220464070137,2011-03-20,2021,1,1,Poland,Greater Poland,Location 145,OBSERVATION,3
9,51.88892637036383,15.519797308722284,2002-02-21,2002,4,5,Poland,Silesia,Location 146,MACHINE_OBSERVATION,2
9,49.38961731951112,21.093239612946142,2001-06-03,2023,6,6,Poland,Lesser Poland,Location 147,OBSERVATION,4
4,51.35043891056059,21.608437129899478,2005-11-10,2022,3,13,Poland,Silesia,Location 148,HUMAN_OBSERVATION,6
9,51.885296385083365,24.01608574255068,2008-01-16,2018,5,2,Poland,Silesia,Location 149,OBSERVATION,5
3,53.17717497346732,16.140388347535374,2005-09-27,2011,10,15,Poland,Silesia,Location 150,OBSERVATION,3
7,49.61815663474631,22.416332810194376,2003-11-28,2001,9,15,Poland,Greater Poland,Location 151,HUMAN_OBSERVATION,2
6,49.812107524230605,19.30702508457027,2001-04-01,2002,11,13,Poland,Mazovia,Location 152,HUMAN_OBSERVATION,9
8,50.529366055280775,17.80931848067057,2018-10-25,2017,3,26,Poland,Pomerania,Location 153,MACHINE_OBSERVATION,1
9,50.545690681551115,15.248242924716815,2009-05-15,2000,5,25,Poland,Silesia,Location 154,OBSERVATION,9
5,53.24667055506256,21.502157186172884,2021-03-16,2019,8,14,Poland,Silesia,Location 155,HUMAN_OBSERVATION,1
1,50.45423783125727,16.40574751126561,2020-11-24,2020,6,26,Poland,Silesia,Location 156,HUMAN_OBSERVATION,7
3,52.671968767473196,17.788504419105067,2021-04-02,2005,4,22,Poland,Mazovia,Location 157,OBSERVATION,6
10,51.866788330801974,14.637930714353159,2012-12-01,2004,8,7,Poland,Lesser Poland,Location 158,HUMAN_OBSERVATION,7
8,52.32510739344052,22.173942541359093,2016-04-07,2000,11,14,Poland,Greater Poland,Location 159,MACHINE_OBSERVATION,3
6,53.86102038643411,21.819202944510764,2016-09-04,2018,3,26,Poland,Mazovia,Location 160,MACHINE_OBSERVATION,3
8,51.34541270898434,21.482881466431586,2018-01-10,2000,3,24,Poland,Silesia,Location 161,OBSERVATION,1
9,53.47128598697277,17.054323807017244,2003-09-13,2020,4,27,Poland,Mazovia,Location 162,MACHINE_OBSERVATION,4
4,51.44780914539398,15.769496757512764,2013-10-06,2020,9,10,Poland,Mazovia,Location 163,HUMAN_OBSERVATION,2
1,51.05245398405525,20.503043297596342,2015-06-17,2015,5,17,Poland,Mazovia,Location 164,HUMAN_OBSERVATION,8
1,54.56003762841668,19.060897117954838,2009-02-27,2011,8,14,Poland,Lesser Poland,Location 165,HUMAN_OBSERVATION,3
10,50.06935133993799,15.818175162427345,2021-02-03,2021,6,8,Poland,Pomerania,Location 166,HUMAN_OBSERVATION,7
4,49.52395437135012,20.99629496470861,2019-11-21,2007,3,4,Poland,Greater Poland,Location 167,OBSERVATION,7
7,53.471718368105776,24.1094896045773,2014-04-27,2015,8,26,Poland,Lesser Poland,Location 168,MACHINE_OBSERVATION,9
2,49.39584829105373,21.621639794968782,2008-11-26,2000,12,16,Poland,Lesser Poland,Location 169,MACHINE_OBSERVATION,6
3,53.85505814607757,21.54786114419324,2018-08-28,2003,9,24,Poland,Pomerania,Location 170,HUMAN_OBSERVATION,1
1,51.53572169887201,23.693190079892034,2016-11-25,2009,8,13,Poland,Lesser Poland,Location 171,OBSERVATION,8
5,54.309979328293096,16.069950949264,2008-10-18,2010,4,22,Poland,Mazovia,Location 172,HUMAN_OBSERVATION,1
1,53.18489059450705,19.76860964219869,2019-08-07,2016,11,27,Poland,Mazovia,Location 173,HUMAN_OBSERVATION,3
8,52.540347068646156,23.99239649334561,2016-05-23,2022,6,25,Poland,Silesia,Location 174,OBSERVATION,5
1,54.50597942293504,15.68599993189578,2014-04-15,2006,1,27,Poland,Lesser Poland,Location 175,OBSERVATION,8
1,51.30056636370191,21.142569986334113,2000-09-14,2011,4,20,Poland,Silesia,Location 176,HUMAN_OBSERVATION,9
2,54.53370423192987,19.9752634889134,2004-11-16,2020,8,18,Poland,Greater Poland,Location 177,MACHINE_OBSERVATION,7
2,49.783007409043,19.98208674032481,2001-08-11,2006,1,14,Poland,Mazovia,Location 178,HUMAN_OBSERVATION,9
6,51.805778663207995,21.116240400704765,2017-03-26,2011,3,18,Poland,Greater Poland,Location 179,MACHINE_OBSERVATION,3
7,50.56548508987473,23.48209261333198,2000-11-16,2014,1,5,Poland,Pomerania,Location 180,MACHINE_OBSERVATION,5
5,52.13108811766752,21.982335786483645,2017-07-10,2001,9,26,Poland,Mazovia,Location 181,OBSERVATION,8
1,49.93968049177119,14.572588254845343,2017-06-19,2013,2,9,Poland,Greater Poland,Location 182,OBSERVATION,1
1,53.88087202979825,22.697825802732254,2003-11-13,2012,9,28,Poland,Pomerania,Location 183,HUMAN_OBSERVATION,8
3,53.90916552602443,16.300521565242473,2023-03-10,2003,4,3,Poland,Greater Poland,Location 184,MACHINE_OBSERVATION,7
2,54.54037061379618,17.844524480310994,2005-01-23,2013,2,8,Poland,Pomerania,Location 185,MACHINE_OBSERVATION,1
5,49.89709841712277,18.7096746988463,2023-11-14,2013,4,20,Poland,Pomerania,Location 186,HUMAN_OBSERVATION,6
10,52.61532879524894,18.90524120768131,2007-03-14,2015,12,22,Poland,Mazovia,Location 187,HUMAN_OBSERVATION,1
6,51.75057639046214,18.438840072404638,2009-01-09,2006,11,10,Poland,Silesia,Location 188,HUMAN_OBSERVATION,2
7,50.99742564585655,23.561003601001815,2005-11-25,2018,11,22,Poland,Pomerania,Location 189,OBSERVATION,5
4,51.03893293457847,21.20139387817305,2006-01-28,2001,10,19,Poland,Pomerania,Location 190,HUMAN_OBSERVATION,2
7,51.39420259351916,20.437940588758405,2000-06-05,2009,6,21,Poland,Mazovia,Location 191,HUMAN_OBSERVATION,1
8,53.08856818819593,14.508388683386004,2008-02-24,2017,11,28,Poland,Silesia,Location 192,MACHINE_OBSERVATION,6
1,52.470059137955296,23.21991596865582,2020-02-26,2016,7,3,Poland,Lesser Poland,Location 193,HUMAN_OBSERVATION,8
6,51.666152774014556,23.275779958485643,2010-11-28,2004,3,11,Poland,Lesser Poland,Location 194,MACHINE_OBSERVATION,8
8,49.44041378014381,21.958173246987045,2005-10-08,2011,3,11,Poland,Silesia,Location 195,MACHINE_OBSERVATION,8
5,49.45103899565795,14.071697878898915,2003-02-28,2005,12,17,Poland,Greater Poland,Location 196,OBSERVATION,6
4,49.01356846562951,14.584258560991758,2010-05-15,2021,10,16,Poland,Mazovia,Location 197,HUMAN_OBSERVATION,3
2,54.6126564516011,16.297281763138596,2017-02-22,2008,12,7,Poland,Silesia,Location 198,HUMAN_OBSERVATION,1
6,49.03047214763863,15.339763963078049,2010-10-25,2019,8,4,Poland,Lesser Poland,Location 199,MACHINE_OBSERVATION,2
6,49.59794372687972,18.06812750297804,2012-04-22,2000,5,23,Poland,Pomerania,Location 200,OBSERVATION,5
1,50.82466002949458,23.410755192495454,2006-11-22,2021,4,19,Poland,Lesser Poland,Location 201,OBSERVATION,5
9,53.68309546053721,18.815016428809383,2023-04-28,2014,7,12,Poland,Pomerania,Location 202,HUMAN_OBSERVATION,1
6,54.58017295743188,14.13670678960809,2014-01-23,2020,7,15,Poland,Mazovia,Location 203,MACHINE_OBSERVATION,1
3,53.58207864099276,16.884006033703372,2002-06-18,2005,9,11,Poland,Pomerania,Location 204,HUMAN_OBSERVATION,9
4,53.00524934818471,14.454868065404208,2000-06-06,2018,9,5,Poland,Silesia,Location 205,HUMAN_OBSERVATION,2
4,52.0235438709987,14.370133750657722,2020-05-17,2017,5,5,Poland,Pomerania,Location 206,HUMAN_OBSERVATION,7
3,49.502890228800666,16.812342501574634,2009-12-21,2005,12,15,Poland,Greater Poland,Location 207,HUMAN_OBSERVATION,4
10,54.557390599422796,16.811245854525243,2017-07-03,2012,8,18,Poland,Silesia,Location 208,MACHINE_OBSERVATION,7
3,53.39867600088495,22.028691346536363,2012-04-19,2000,10,11,Poland,Mazovia,Location 209,OBSERVATION,8
3,52.70590643493872,23.943313458367342,2002-04-05,2022,1,26,Poland,Silesia,Location 210,HUMAN_OBSERVATION,5
4,53.402407904125326,17.786312357677982,2000-04-12,2022,9,12,Poland,Greater Poland,Location 211,HUMAN_OBSERVATION,1
7,53.199799309784204,18.374646164382593,2023-10-23,2012,8,2,Poland,Mazovia,Location 212,HUMAN_OBSERVATION,4
4,52.695943162779024,22.616852250117418,2020-10-20,2006,6,20,Poland,Lesser Poland,Location 213,HUMAN_OBSERVATION,3
9,54.68734544104393,16.735018004974236,2023-09-13,2014,3,15,Poland,Greater Poland,Location 214,OBSERVATION,5
1,54.239510113288944,15.59509440491517,2022-07-05,2011,3,20,Poland,Mazovia,Location 215,OBSERVATION,6
8,52.750656530879546,22.701514158717234,2003-10-17,2000,8,4,Poland,Pomerania,Location 216,OBSERVATION,2
7,53.02041622645016,14.474305981688667,2009-10-07,2014,5,22,Poland,Silesia,Location 217,OBSERVATION,7
2,49.29925567862052,20.32093429003404,2015-01-17,2003,10,18,Poland,Mazovia,Location 218,HUMAN_OBSERVATION,3
8,52.88552129439022,19.73232704416143,2020-09-06,2012,11,6,Poland,Silesia,Location 219,MACHINE_OBSERVATION,1
1,49.25615953871858,17.528388564517282,2018-03-07,2022,7,23,Poland,Pomerania,Location 220,OBSERVATION,3
9,52.411929790425596,17.214933115193062,2021-09-22,2004,5,27,Poland,Mazovia,Location 221,OBSERVATION,9
9,54.79625029748184,21.872948807052538,2004-10-23,2001,8,26,Poland,Lesser Poland,Location 222,HUMAN_OBSERVATION,6
2,52.22367817233564,14.881531029777975,2016-12-23,2022,10,19,Poland,Greater Poland,Location 223,HUMAN_OBSERVATION,6
7,51.74461868487173,16.41519995497613,2015-03-25,2000,10,11,Poland,Mazovia,Location 224,HUMAN_OBSERVATION,4
